name,team,position,games_played,metric1_giveaway_rate,metric3_dzone_giveaway_rate,metric2_above_expected,total_giveaways,I_F_dZoneShiftStarts,confidence_dzone,metric3_dzone_giveaway_weighted,icetime_minutes,confidence,metric1_weighted,metric2_weighted,metric1_z,metric2_z,metric3_z,composite_score
Sam Lafferty,CHI,C,29,3.634894991922456,0.16666666666666666,-0.0011902762249483,15.0,18.0,0.3,0.12330043859649123,247.6,0.336095112571542,3.1565685658168605,0.0002480546092629953,-0.4423854094444603,-0.15421425399009014,-0.3823254788625335,-0.9789251422970839
Mason Marchment,CBJ,L,68,4.71647406611126,0.21505376344086022,-8.550042884389177e-05,78.0,93.0,0.7188524590163934,0.18403226676222548,992.2666666666667,0.900776355462473,4.5376677601220585,1.9844860919357338e-05,-2.9657695395560957,-0.2025472356218647,-1.7478934080294448,-4.916210183207405
Mikael Granlund,ANA,C,58,2.8538372541457773,0.08633093525179857,0.0063746479277799,37.0,139.0,0.9827868852459016,0.08664738075803378,777.9,0.7382219654431543,2.8696966606833385,0.004961451530498907,0.08175363558118891,0.8440451475947992,0.441826235350765,1.3676250185267531
Matt Boldy,MIN,L,76,3.561766660998346,0.11409395973154363,-0.0022630065331538,64.0,149.0,1.0,0.11409395973154363,1078.1166666666666,0.9658764692075756,3.5396769300119164,-0.002152473539920314,-1.1423565413581054,-0.6626267288433769,-0.17531586531662058,-1.980299135518103
Max Domi,TOR,C,80,4.50932215638098,0.1360544217687075,-0.0019705689854677,78.0,147.0,1.0,0.1360544217687075,1037.85,0.9353422283207249,4.406199379978728,-0.0017800377925518006,-2.7255657761819094,-0.5837478454160449,-0.6691014728534339,-3.978415094451388
Lawson Crouse,UTA,L,81,2.619220847939679,0.06626506024096386,-0.0030240501766352,44.0,166.0,1.0,0.06626506024096386,1007.9333333333333,0.9126563995161319,2.6450046629298063,-0.0026746543601560923,0.4922847716735391,-0.7732204093329442,0.9001269989002385,0.6191913612408334
Andrew Copp,DET,C,79,3.820427064574222,0.13855421686746988,-0.0057039297599838,66.0,166.0,1.0,0.13855421686746988,1036.5333333333333,0.9343437990864281,3.7609421264544,-0.005265338146664519,-1.5466266238773294,-1.321906312436867,-0.7253098913954031,-3.5938428277095995
Cole Schwindt,FLA,R,29,1.853878339233988,0.13793103448275862,0.0149682267327558,8.0,29.0,0.35163934426229504,0.1163950077107693,258.9166666666667,0.34467654864859987,2.5488765972537593,0.0057989202057294855,0.6679188147498563,1.0214142494447138,-0.22705541307615607,1.4622776511184141
Nick Paul,TBL,L,51,3.059316752591921,0.09574468085106383,-0.0020157158784637,30.0,94.0,0.7245901639344262,0.09821517081857067,588.3666666666667,0.5944987090833589,3.000561202516277,-0.0008024921552475726,-0.15734686452568028,-0.3767115742883929,0.18172204295107683,-0.35233639586299637
Mark Kastelic,BOS,C,82,2.4043844657905593,0.08433734939759036,0.0037318990651534,34.0,166.0,1.0,0.08433734939759036,848.45,0.7917200787188329,2.510614765464976,0.0031579412392306293,0.7378263923684125,0.46207623341271487,0.4937677763263283,1.6936704021074558
Matvei Gridin,CGY,R,37,4.534163663716194,0.3888888888888889,0.0083708202767357,36.0,36.0,0.3918032786885246,0.2160552080337456,476.3833333333333,0.5095816707891743,3.7398120091294738,0.0047443605030058015,-1.5080201262810875,0.7980670212421619,-2.4679359774486893,-3.177889082487615
Alex Steeves,BOS,C,43,2.553477433083212,0.07042253521126761,0.0136875983853255,19.0,71.0,0.5926229508196721,0.08439246259119283,446.45,0.4868832036398433,2.738683468534364,0.007165163802615326,0.32112573229021957,1.3107736092095654,0.4925285445770036,2.1244278860767887
Nikolaj Ehlers,CAR,L,82,4.1030444964871196,0.13725490196078433,0.0074771471581765,73.0,102.0,0.7704918032786885,0.1297867076079785,1067.5,0.9578258436095111,4.052915289179654,0.007202974985138398,-2.0800860946216138,1.3187817122973067,-0.528170601750398,-1.289474984074705
Kevin Fiala,LAK,L,56,4.217968067360394,0.15625,-0.0007512515464488,59.0,96.0,0.7360655737704918,0.14264811619211964,839.2666666666667,0.7847563507682307,3.937387767790721,-0.00037942964810206835,-1.8690076179517148,-0.2871103520120957,-0.8173620787216861,-2.973480048685497
Joe Veleno,MTL,C,61,1.8310801766831748,0.030303030303030304,-0.015669270974805,19.0,99.0,0.7532786885245901,0.048662027413914816,622.5833333333334,0.6204452308303392,2.2422672261186065,-0.009351404979305153,1.228119866532514,-2.187302267700094,1.2959348942115998,0.3367524930440198
Sam Carrick,BUF,C,73,2.3665757693806,0.1,0.0094606773485475,27.0,130.0,0.9311475409836065,0.10032463330457292,684.5333333333333,0.6674219582212432,2.548776952367422,0.00663892482330817,0.668100874319413,1.1993204434031817,0.13429033530011805,2.0017116530227126
Dylan Larkin,DET,C,74,3.0981551894099426,0.10810810810810811,0.0025074045264684,55.0,185.0,1.0,0.10810810810810811,1065.15,0.9560438370014623,3.090078924759815,0.002440098430904606,-0.3209032554094827,0.31004292405084327,-0.04072273264476135,-0.051583064003400805
Alex Tuch,BUF,R,79,2.7035957823905794,0.08383233532934131,0.0024191088747321,50.0,167.0,1.0,0.08383233532934131,1109.6333333333334,0.9897755791070106,2.70575134473749,0.0024043559159567275,0.3812954861374154,0.3024729480485565,0.5051231238633238,1.1888915580492956
Danila Yurov,MIN,R,73,2.808738296923763,0.2558139534883721,-0.0062686052014681,42.0,86.0,0.6786885245901639,0.20726409762492393,897.2,0.8286872370772924,2.826843035598826,-0.00502747846226192,0.16005080489523957,-1.2715295522826113,-2.2702660109972994,-3.381744758384671
Shane Wright,SEA,C,74,4.288064131893894,0.38333333333333336,0.0004257351452712,63.0,60.0,0.5295081967213114,0.25224564998561977,881.5166666666667,0.8167945546788957,4.0364051690513,0.000526582387948825,-2.049920719614583,-0.09522431991028034,-3.281685676156753,-5.426830715681617
Zach Hyman,EDM,L,58,1.4100531567658305,0.0547945205479452,-0.0164373778056584,21.0,73.0,0.6040983606557377,0.07455808547165127,893.5833333333334,0.8259447162691607,1.671896270458018,-0.013406453450334296,2.270235468167196,-3.046128784484477,0.713656582434358,-0.06223673388292272
Daniil But,UTA,L,29,3.3823989978077043,0.08108108108108109,0.0043159020818788,18.0,37.0,0.3975409836065573,0.09531949577921323,319.3,0.39046527163413797,3.097149952577682,0.002280234632440617,-0.3338226166347709,0.27618506262806636,0.24683190521711518,0.18919435121041062
Phillip Danault,MTL,C,75,2.770916120717431,0.09693877551020408,-0.0003682198362149,43.0,196.0,1.0,0.09693877551020408,931.1,0.8543936302742521,2.791811296626104,-0.0001724644726189679,0.22405673186882724,-0.24327679933677868,0.21042205990574445,0.191201992437793
Dylan Cozens,OTT,C,82,2.4138092342236983,0.08284023668639054,0.0079308625998782,43.0,169.0,1.0,0.08284023668639054,1068.85,0.9588495495332838,2.4344096201588235,0.007644674895265635,0.8770595879935367,1.412330186005754,0.5274306705040483,2.816820444503339
Nicolas Roy,COL,C,74,4.046176705909247,0.14012738853503184,-0.0074744245666098,59.0,157.0,1.0,0.14012738853503184,874.9,0.8117771318179354,3.8331543380351407,-0.0058838247140102,-1.6785643944983426,-1.4528967723799053,-0.7606829872033231,-3.892144154081571
Filip Forsberg,NSH,L,82,4.014096140080392,0.16428571428571428,-0.0006158898774224,81.0,140.0,0.9885245901639343,0.16360211491844365,1210.7333333333333,1.0,4.014096140080392,-0.0006158898774224,-2.0091602515066342,-0.3371907188822054,-1.2885171470391725,-3.634868117428012
Nate Danielson,DET,C,28,3.816651075771749,0.20930232558139536,-0.0382689265932888,17.0,43.0,0.43196721311475406,0.1498932457310833,267.25,0.35099572101756726,3.2310996793396916,-0.012798674750552165,-0.5785600085163792,-2.9174061644125264,-0.9802703401701832,-4.476236513099089
Jacob Quillan,TOR,C,23,3.5844673083305674,0.18518518518518517,0.0106334853363054,12.0,27.0,0.3401639344262295,0.13208799691624323,200.86666666666667,0.30065719392637263,3.1158750094314716,0.003879728812913902,-0.3680348669170987,0.6149450122185406,-0.579915575844132,-0.3330054305426901
Alex Turcotte,LAK,C,62,2.2362563412361527,0.140625,-0.0247386794041509,24.0,64.0,0.5524590163934426,0.12455376402070752,643.9333333333333,0.6366349504396337,2.4826775547912376,-0.015394792792124409,0.7888700207655477,-3.4672429988508386,-0.41050676462012126,-3.088879742705412
Pavel Buchnevich,STL,L,81,2.9733056988359228,0.06832298136645963,-0.0007049521331974,53.0,161.0,1.0,0.06832298136645963,1069.5166666666667,0.9593550833228013,2.970912321591408,-0.0006366220480773968,-0.10317587093602577,-0.34158162518979174,0.853854209580228,0.40909671345441045
