player_name,total_giveaways,mean_above_expected
A.J. Greer,51,0.0032168535000614237
Aaron Ekblad,51,-0.007408267295086328
Aatu Räty,28,0.011805278296228763
Abram Wiebe,2,0.005715599739219431
Adam Boqvist,9,-0.0039507154022659545
Adam Edstrom,17,0.00779585402471553
Adam Engstrom,7,-0.027720705411277153
Adam Erne,16,0.0005755910532035834
Adam Fantilli,82,-0.0007680647291835077
Adam Fox,56,-0.0006854039427519429
Adam Gaudette,24,0.00011520538311179723
Adam Ginning,5,0.0009735302686903694
Adam Henrique,33,0.001154665498248964
Adam Klapka,34,-0.016556847346702673
Adam Larsson,48,-0.0029285124730367485
Adam Lowry,33,-0.003545875334023145
Adam Pelech,60,0.0009206663503120709
Adam Sykora,3,0.012143588793954796
Adam Wilsby,47,0.0036448147886477696
Adrian Kempe,54,0.0010495533642943722
Albert Johansson,52,0.004031692497433819
Alec Regula,26,0.004018634838981246
Aleksanteri Kaskimaki,2,-0.008315860186972522
Alex Bump,12,-0.015765326659980653
Alex DeBrincat,72,0.0013013996172271049
Alex Iafallo,24,-0.005546996004563813
Alex Killorn,50,-0.00758361808852412
Alex Laferriere,76,0.003482646568123569
Alex Newhook,11,0.008694544370457755
Alex Ovechkin,46,-0.007698147213827023
Alex Steeves,19,0.013687598385325503
Alex Tuch,50,0.0024191088747321497
Alex Turcotte,24,-0.024738679404150938
Alex Vlasic,81,0.006770646982214403
Alexander Holtz,18,-4.671131903577129e-05
Alexander Kerfoot,24,0.011138843573673375
Alexander Nikishin,72,0.011326602320859712
Alexander Petrovic,44,0.00393442571847542
Alexander Romanov,17,-0.02585858984167467
Alexander Wennberg,47,0.00012938638388447344
Alexandre Carrier,43,0.007565892834955826
Alexandre Texier,22,-0.004511541049668583
Alexey Toropchenko,29,0.0061546699848843206
Alexis Lafrenière,44,-5.760818296901804e-06
Aliaksei Protas,76,-0.0035383563011919497
Anders Lee,55,-0.0025225263668608765
Andre Burakovsky,56,-0.006546139805704203
Andre Lee,2,0.00960057305632137
Andreas Englund,2,0.018396173230303507
Andrei Kuzmenko,39,0.004436461427692128
